Gene_name_1	Adscription_1	Interaction_type	Gene_name_2	Adscription_2
PA	IAV protein	pp	YIPF6	DHP of IAV
PA	IAV protein	pp	POLR2A	DHP of IAV
PA	IAV protein	pp	PPP2R5C	DHP of IAV
PA	IAV protein	pp	QTRT1	DHP of IAV
PA	IAV protein	pp	DNM2	DHP of IAV
PA	IAV protein	pp	SECISBP2	DHP of IAV
PA	IAV protein	pp	RNF5	DHP of IAV
PA	IAV protein	pp	SSBP2	DHP of IAV
PA	IAV protein	pp	LNX2	DHP of IAV
PA	IAV protein	pp	MEOX2	DHP of IAV
PA	IAV protein	pp	GLYAT	DHP of IAV
PA	IAV protein	pp	KPNA3	DHP of IAV
NP	IAV protein	pp	KPNA4	DHP of IAV
NP	IAV protein	pp	KPNA2	DHP of IAV
NP	IAV protein	pp	ILF3	DHP of IAV
NP	IAV protein	pp	ACTB	DHP of IAV
NP	IAV protein	pp	XPO1	DHP of IAV
NP	IAV protein	pp	CEP70	DHP of IAV
NP	IAV protein	pp	BAT1	DHP of IAV
NP	IAV protein	pp	ATP6V1G2	DHP of IAV
NP	IAV protein	pp	KPNA1	DHP of IAV
NP	IAV protein	pp	TRAF1	DHP of IAV
NP	IAV protein	pp	DDB1	DHP of IAV
NP	IAV protein	pp	NPM1	DHP of IAV
NP	IAV protein	pp	MAGEA11	DHP of IAV
NP	IAV protein	pp	MAGED1	DHP of IAV
NP	IAV protein	pp	MLH1	DHP of IAV
NP	IAV protein	pp	GMCL1	DHP of IAV
NP	IAV protein	pp	FXR2	DHP of IAV
NP	IAV protein	pp	KPNA6	DHP of IAV
NP	IAV protein	pp	KPNA3	DHP of IAV
NA	IAV protein	pp	MEOX2	DHP of IAV
NA	IAV protein	pp	CREB3	DHP of IAV
M1	IAV protein	pp	NS1	IAV protein
M1	IAV protein	pp	PB1	IAV protein
M1	IAV protein	pp	PA	IAV protein
M1	IAV protein	pp	NP	IAV protein
M1	IAV protein	pp	NA	IAV protein
M1	IAV protein	pp	NS2	IAV protein
NS2	IAV protein	pp	PA	IAV protein
NS2	IAV protein	pp	PB2	IAV protein
NS2	IAV protein	pp	NS1	IAV protein
NS2	IAV protein	pp	PB1	IAV protein
NS1	IAV protein	pp	PB1	IAV protein
NS1	IAV protein	pp	PA	IAV protein
NS1	IAV protein	pp	PB2	IAV protein
PB1	IAV protein	pp	PA	IAV protein
PB1	IAV protein	pp	PB2	IAV protein
HA	IAV protein	pp	NP	IAV protein
HA	IAV protein	pp	NS1	IAV protein
HA	IAV protein	pp	PA	IAV protein
HA	IAV protein	pp	PB1	IAV protein
PA	IAV protein	pp	PB2	IAV protein
NP	IAV protein	pp	PB1	IAV protein
NP	IAV protein	pp	PB2	IAV protein
NP	IAV protein	pp	NS1	IAV protein
NP	IAV protein	pp	PA	IAV protein
NA	IAV protein	pp	PA	IAV protein
NA	IAV protein	pp	PB1	IAV protein
NA	IAV protein	pp	NS1	IAV protein
